,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
2422,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2018-06-04,2017-11-16,2018-11-09,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-11-09,800,800,0,2,21,2
2454,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7274,111021,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Parda,45 a 49 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,F,Regular,E,Não Retida,2016-10-18,160,160,0,2,47,1
2478,Formados,Acaraú,Fora do prazo,20182,Fic,Básico,Regular,Itarema,7274,111021,2019-11-04,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Extensão,Fic,2018,3,20191,2019/1,Não possui,M,Regular,E,Retida,2019-10-18,160,160,0,2,22,2
2485,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Itarema,4928,11202,2018-06-04,2017-11-16,2018-05-16,2016-01-01,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20172,2017/2,"L1 Esc Publica, Renda<1.5sm",F,Educação Profissional,E,Não Retida,2018-05-16,1480,1480,0,4,21,4
2510,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2018-06-04,2017-11-16,2018-05-16,2016-01-01,2017-01-07,CE,Adulto (20 a 59 anos),Parda,35 a 39 anos,Seleção Técnico,Subsequente,2016,3,20172,2017/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-05-16,1480,1480,0,4,36,4
2540,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7276,111023,2017-05-22,2016-11-23,2017-04-13,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2016,1,20162,2016/2,Não possui,F,Regular,E,Não Retida,2017-04-13,160,160,0,2,25,2
2552,Formados,Acaraú,Fora do prazo,20151,Subsequente,Técnico,Educação Profissional,Itarema,5158,11200,2019-05-22,2018-11-26,2019-05-09,2015-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2015,7,20182,2016/2,"L2 Esc Publica, Renda<1.5sm, Raca",F,Educação Profissional,E,Retida,2019-05-09,1240,1240,0,4,25,8
2553,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Bela Cruz,7083,11204,2018-06-04,2017-11-16,2019-10-18,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Branca,35 a 39 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,35,4
2554,Formados,Acaraú,Dentro do prazo,20182,Fic,Básico,Regular,Acaraú,7276,111023,2019-05-22,2018-11-26,2019-05-09,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Não quis declarar cor/raça,35 a 39 anos,Seleção Extensão,Fic,2018,1,20182,2019/1,Não possui,F,Regular,E,Não Retida,2019-05-09,160,160,0,2,37,1
2560,Formados,Acaraú,Fora do prazo,20182,Fic,Básico,Regular,Acaraú,7274,111021,2019-11-04,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Não quis declarar cor/raça,30 a 34 anos,Seleção Extensão,Fic,2018,3,20191,2019/1,Não possui,M,Regular,E,Retida,2019-10-18,160,160,0,2,33,2
2579,Formados,Acaraú,Dentro do prazo,20191,Fic,Básico,Regular,Acaraú,7274,111021,2019-11-04,2019-05-22,2019-10-18,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Não quis declarar cor/raça,20 a 24 anos,Seleção Extensão,Fic,2019,1,20191,2019/2,Não possui,M,Regular,E,Não Retida,2019-10-18,160,160,0,2,22,1
2589,Formados,Acaraú,Dentro do prazo,20151,Licenciatura,Graduação,Regular,Marco,4496,11401,2019-05-22,2018-11-26,2019-06-05,2015-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2015,7,20182,2018/2,"L6 Esc Publica, Indep. Renda, Raca",F,Regular,E,Não Retida,2019-06-05,3260,3260,0,8,22,8
2607,Formados,Acaraú,Dentro do prazo,20181,Fic,Básico,Regular,Acaraú,7276,111023,2019-05-22,2018-11-26,2019-05-09,2018-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2018,1,20182,2018/2,Não possui,F,Regular,E,Não Retida,2019-05-09,160,160,0,2,25,2
2620,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7275,111022,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,30 a 34 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,M,Regular,E,Não Retida,2016-05-27,160,160,0,2,31,1
2632,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7275,111022,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,F,Regular,E,Não Retida,2016-10-18,160,160,0,2,22,1
2641,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Itarema,5158,11200,2019-05-22,2018-11-26,2019-03-20,2016-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2016,5,20182,2017/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2019-03-20,1240,1240,0,4,21,6
2680,Formados,Acaraú,Fora do prazo,20182,Fic,Básico,Regular,Marco,7274,111021,2019-11-04,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2018,3,20191,2019/1,Não possui,M,Regular,E,Retida,2019-10-18,160,160,0,2,23,2
2683,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-05-22,2018-11-26,2019-10-18,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2019/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,23,2
2695,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7275,111022,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,M,Regular,E,Não Retida,2016-05-27,160,160,0,2,25,1
2713,Formados,Acaraú,Fora do prazo,20171,Subsequente,Técnico,Educação Profissional,Itarema,4928,11202,2017-11-16,2017-05-15,2019-10-18,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Técnico,Subsequente,2017,1,20171,2018/2,"L1 Esc Publica, Renda<1.5sm",M,Educação Profissional,E,Não Retida,2019-10-18,1480,1480,0,4,29,5
2732,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-05-15,2016-11-16,2017-04-19,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,M,Não Retida,2017-04-19,800,800,0,2,23,2
2734,Formados,Acaraú,Dentro do prazo,20181,Fic,Básico,Regular,Acaraú,7274,111021,2019-05-22,2018-11-26,2019-05-09,2018-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Extensão,Fic,2018,1,20182,2018/2,Não possui,F,Regular,E,Não Retida,2019-05-09,160,160,0,2,20,2
2738,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2018-06-04,2017-11-16,2019-05-08,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Branca,35 a 39 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-05-08,800,800,0,2,35,3
2746,Formados,Acaraú,Fora do prazo,20152,Subsequente,Técnico,Educação Profissional,Acaraú,5158,11200,2019-05-22,2018-11-26,2019-02-28,2015-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2015,7,20182,2017/1,Ampla Concorrência,F,Educação Profissional,E,Retida,2019-02-28,1240,1240,0,4,28,7
2762,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2018-06-04,2017-11-16,2018-05-16,2016-01-01,2017-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20172,2016/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2018-05-16,800,800,0,2,23,4
2764,Formados,Acaraú,Dentro do prazo,20172,Subsequente,Técnico,Educação Profissional,Itarema,5929,11203,2018-06-04,2017-11-16,2018-05-16,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Amarela,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-05-16,800,800,0,2,23,1
2767,Formados,Acaraú,Dentro do prazo,20172,Fic,Básico,Regular,Acaraú,7274,111021,2018-06-12,2017-11-16,2018-05-16,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Extensão,Fic,2017,1,20172,2018/1,Não possui,M,Regular,E,Não Retida,2018-05-16,160,160,0,2,21,1
2775,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-10-31,2019-05-22,2019-10-18,2016-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,7,20191,2016/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2019-10-18,800,800,0,2,25,7
2783,Formados,Acaraú,Fora do prazo,20151,Subsequente,Técnico,Educação Profissional,Itarema,5158,11200,2017-11-16,2017-05-15,2017-05-31,2015-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Indígena,20 a 24 anos,Seleção Técnico,Subsequente,2015,5,20171,2016/2,Ampla Concorrência,F,Educação Profissional,M,Retida,2017-05-31,1240,1240,0,4,23,5
2789,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Amarela,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,Ampla Concorrência,F,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,23,2
2792,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-05-22,2018-11-26,2019-10-18,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2018,1,20182,2019/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,27,2
2794,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2018-06-04,2017-11-16,2018-11-09,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,F,Educação Profissional,P,Não Retida,2018-11-09,800,800,0,2,28,2
2808,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,5158,11200,2019-05-22,2018-11-26,2019-05-20,2016-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,5,20182,2017/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2019-05-20,1240,1240,0,4,25,6
2809,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-05-15,2016-11-16,2017-04-19,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2017-04-19,800,800,0,2,22,2
2822,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Acaraú,6427,11201,2018-06-04,2017-11-16,2019-10-18,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Técnico,Subsequente,2017,1,20172,2019/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-10-18,1080,1080,0,4,25,4
2827,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,"L1 Esc Publica, Renda<1.5sm",F,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,25,2
2832,Formados,Acaraú,Dentro do prazo,20171,Fic,Básico,Regular,Acaraú,7275,111022,2017-11-16,2017-05-22,2018-05-16,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2017,1,20171,2017/2,Não possui,F,Regular,E,Não Retida,2018-05-16,160,160,0,2,21,2
2834,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Preta,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,Ampla Concorrência,M,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,24,2
2838,Formados,Acaraú,Dentro do prazo,20172,Subsequente,Técnico,Educação Profissional,Itarema,5929,11203,2018-06-04,2017-11-16,2018-05-16,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-05-16,800,800,0,2,22,1
2874,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2019-05-22,2018-11-26,2019-10-18,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2019/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,21,2
2877,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Jijoca de Jericoacoara,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,M,Regular,E,Não Retida,2016-05-27,160,160,0,2,25,1
2886,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7275,111022,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,M,Regular,E,Não Retida,2016-10-18,160,160,0,2,26,1
2896,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,Ampla Concorrência,F,Educação Profissional,M,Retida,2017-11-01,800,800,0,2,23,2
2897,Formados,Acaraú,Fora do prazo,20162,Fic,Básico,Regular,Acaraú,7275,111022,2017-05-22,2016-11-23,2017-10-25,2016-01-07,2016-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,25 a 29 anos,Seleção Extensão,Fic,2016,1,20162,2017/1,Não possui,F,Regular,E,Não Retida,2017-10-25,160,160,0,2,28,2
2910,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,Ampla Concorrência,F,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,25,2
2915,Formados,Acaraú,Fora do prazo,20162,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Parda,30 a 34 anos,Seleção Técnico,Subsequente,2016,3,20171,2017/1,Ampla Concorrência,F,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,31,2
2917,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Itarema,6427,11201,2018-06-04,2017-11-16,2019-10-18,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Preta,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20172,2019/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-10-18,1080,1080,0,4,24,4
2922,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Parda,40 a 44 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,M,Regular,E,Não Retida,2016-05-27,160,160,0,2,40,1
2931,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2018-06-04,2017-11-16,2018-11-09,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20172,2018/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2018-11-09,800,800,0,2,22,2
2939,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2017-05-15,2016-11-16,2017-04-19,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2017-04-19,800,800,0,2,25,2
2942,Formados,Acaraú,Fora do prazo,20172,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2018-11-26,2018-06-04,2018-11-09,2017-01-07,2018-01-01,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Técnico,Subsequente,2017,3,20181,2018/1,Ampla Concorrência,F,Educação Profissional,E,Retida,2018-11-09,800,800,0,2,29,2
2946,Formados,Acaraú,Fora do prazo,20162,Fic,Básico,Regular,Acaraú,7275,111022,2017-05-22,2016-11-23,2017-10-25,2016-01-07,2016-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Extensão,Fic,2016,1,20162,2017/1,Não possui,F,Regular,E,Não Retida,2017-10-25,160,160,0,2,23,2
2955,Formados,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-05-22,2018-11-26,2019-05-09,2018-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2018/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-05-09,800,800,0,2,24,2
2956,Formados,Acaraú,Fora do prazo,20151,Licenciatura,Graduação,Regular,Acaraú,4496,11401,2019-10-31,2019-05-22,2019-11-20,2015-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Sisu,Licenciatura,2015,9,20191,2018/2,"L2 Esc Publica, Renda<1.5sm, Raca",M,Regular,E,Retida,2019-11-20,3260,3260,0,8,26,9
2966,Formados,Acaraú,Fora do prazo,20182,Fic,Básico,Regular,Acaraú,7275,111022,2019-11-04,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Não quis declarar cor/raça,45 a 49 anos,Seleção Extensão,Fic,2018,3,20191,2019/1,Não possui,M,Regular,F,Retida,2019-10-18,160,160,0,2,46,2
2973,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2017-05-15,2016-11-16,2017-04-19,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2017-04-19,800,800,0,2,23,2
2984,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Itarema,5929,11203,2019-10-31,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,25 a 29 anos,Seleção Técnico,Subsequente,2018,3,20191,2019/1,Ampla Concorrência,M,Educação Profissional,E,Retida,2019-10-18,800,800,0,2,25,2
2989,Formados,Acaraú,Fora do prazo,20181,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2018-11-26,2018-06-04,2019-10-18,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,35 a 39 anos,Seleção Técnico,Subsequente,2018,1,20181,2018/2,Não possui,F,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,37,3
3010,Formados,Acaraú,Fora do prazo,20182,Fic,Básico,Regular,Itarema,7274,111021,2019-11-04,2019-05-22,2019-10-18,2018-01-07,2019-01-01,CE,Adulto (20 a 59 anos),Não quis declarar cor/raça,40 a 44 anos,Seleção Extensão,Fic,2018,3,20191,2019/1,Não possui,M,Regular,P,Retida,2019-10-18,160,160,0,2,42,2
3022,Formados,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Itarema,5929,11203,2019-05-22,2018-11-26,2019-05-09,2018-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,35 a 39 anos,Seleção Técnico,Subsequente,2018,1,20182,2018/2,Ampla Concorrência,F,Educação Profissional,P,Não Retida,2019-05-09,800,800,0,2,38,2
3032,Formados,Acaraú,Dentro do prazo,20171,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2017-11-16,2017-05-15,2018-05-16,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20171,2017/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2018-05-16,800,800,0,2,21,2
3034,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Itarema,7083,11204,2017-11-16,2017-05-15,2017-11-01,2016-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,25 a 29 anos,Seleção Técnico,Subsequente,2016,3,20171,2016/2,Ampla Concorrência,M,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,28,3
3040,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,F,Regular,E,Não Retida,2016-05-27,160,160,0,2,22,1
3054,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,5158,11200,2019-05-22,2018-11-26,2018-12-28,2016-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,5,20182,2017/2,Ampla Concorrência,M,Educação Profissional,E,Retida,2018-12-28,1240,1240,0,4,23,6
3056,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7274,111021,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,M,Regular,E,Não Retida,2016-10-18,160,160,0,2,26,1
3058,Formados,Acaraú,Dentro do prazo,20181,Fic,Básico,Regular,Marco,7276,111023,2018-11-26,2018-06-12,2019-05-09,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2018,1,20181,2018/2,Não possui,F,Regular,E,Não Retida,2019-05-09,160,160,0,2,21,2
3068,Formados,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2018-11-26,2018-06-04,2019-05-09,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20181,2018/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-05-09,800,800,0,2,20,2
3070,Formados,Acaraú,Dentro do prazo,20171,Fic,Básico,Regular,Acaraú,7276,111023,2018-06-12,2017-11-16,2018-05-16,2017-01-01,2017-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Extensão,Fic,2017,1,20172,2017/2,Ampla Concorrência,F,Regular,E,Não Retida,2018-05-16,160,160,0,2,20,2
3082,Formados,Acaraú,Dentro do prazo,20172,Fic,Básico,Regular,Acaraú,7274,111021,2018-06-12,2017-11-16,2018-05-16,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Extensão,Fic,2017,1,20172,2018/1,Não possui,F,Regular,P,Não Retida,2018-05-16,160,160,0,2,22,1
3091,Formados,Acaraú,Fora do prazo,20151,Licenciatura,Graduação,Regular,Jijoca de Jericoacoara,4496,11401,2019-10-31,2019-05-22,2019-11-20,2015-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2015,9,20191,2018/2,Ampla Concorrência,F,Regular,E,Retida,2019-11-20,3260,3260,0,8,23,9
3092,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Acaraú,7274,111021,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,F,Regular,E,Não Retida,2016-10-18,160,160,0,2,24,1
